precipitation,temp_max,temp_min,wind,weather,month,day,day_of_week,day_of_year,quarter,week_of_year,month_sin,month_cos,avg_temp,temp_range,season
7.0,7.6,-3.9,2.7,3,1,1,5,1,1,52,0.49999999999999994,0.8660254037844387,1.8499999999999999,11.5,3
0.0,21.3,5.9,3.6,1,1,2,6,2,1,52,0.49999999999999994,0.8660254037844387,13.600000000000001,15.4,3
2.0,26.4,6.4,2.2,0,1,2,6,2,1,52,0.49999999999999994,0.8660254037844387,16.4,20.0,3
0.0,20.9,4.7,4.8,1,1,2,6,2,1,52,0.49999999999999994,0.8660254037844387,12.799999999999999,16.2,3
1.9,9.8,2.1,2.2,0,1,2,6,2,1,52,0.49999999999999994,0.8660254037844387,5.95,7.700000000000001,3
8.6,6.6,3.8,4.9,3,1,2,6,2,1,52,0.49999999999999994,0.8660254037844387,5.199999999999999,2.8,3
0.0,3.7,1.9,1.4,1,1,2,6,2,1,52,0.49999999999999994,0.8660254037844387,2.8,1.8000000000000003,3
19.4,-1.7,-3.5,4.1,3,1,2,6,2,1,52,0.49999999999999994,0.8660254037844387,-2.6,1.8,3
2.6,1.7,-1.7,5.2,3,1,3,0,3,1,1,0.49999999999999994,0.8660254037844387,0.0,3.4,3
5.6,3.0,-1.3,3.8,3,1,3,0,3,1,1,0.49999999999999994,0.8660254037844387,0.85,4.3,3
15.9,4.3,-1.0,3.4,3,1,4,1,4,1,1,0.49999999999999994,0.8660254037844387,1.65,5.3,3
0.0,18.4,5.3,1.2,1,1,4,1,4,1,1,0.49999999999999994,0.8660254037844387,11.85,13.099999999999998,3
0.3,15.4,10.2,4.7,2,1,5,2,5,1,1,0.49999999999999994,0.8660254037844387,12.8,5.200000000000001,3
9.0,4.4,-0.8,6.9,3,1,5,2,5,1,1,0.49999999999999994,0.8660254037844387,1.8000000000000003,5.2,3
0.3,1.4,-3.5,2.1,0,1,8,5,8,1,1,0.49999999999999994,0.8660254037844387,-1.05,4.9,3
2.7,10.1,-0.5,5.7,3,1,9,6,9,1,1,0.49999999999999994,0.8660254037844387,4.8,10.6,3
0.0,17.0,6.8,0.7,1,1,9,6,9,1,1,0.49999999999999994,0.8660254037844387,11.9,10.2,3
0.0,23.1,11.4,1.5,1,1,10,0,10,1,2,0.49999999999999994,0.8660254037844387,17.25,11.700000000000001,3
4.8,0.8,-1.9,3.5,3,1,12,2,12,1,2,0.49999999999999994,0.8660254037844387,-0.5499999999999999,2.7,3
1.6,17.7,-5.8,5.1,0,1,13,3,13,1,2,0.49999999999999994,0.8660254037844387,5.949999999999999,23.5,3
0.6,27.6,3.1,1.5,0,1,16,6,16,1,2,0.49999999999999994,0.8660254037844387,15.350000000000001,24.5,3
4.2,22.0,11.5,3.1,2,1,17,0,17,1,3,0.49999999999999994,0.8660254037844387,16.75,10.5,3
18.4,3.0,-0.1,4.2,3,1,18,1,18,1,3,0.49999999999999994,0.8660254037844387,1.45,3.1,3
9.2,2.0,-2.2,2.2,3,1,20,3,20,1,3,0.49999999999999994,0.8660254037844387,-0.10000000000000009,4.2,3
8.7,14.6,4.9,3.2,2,1,20,3,20,1,3,0.49999999999999994,0.8660254037844387,9.75,9.7,3
0.0,11.9,9.7,2.7,1,1,21,4,21,1,3,0.49999999999999994,0.8660254037844387,10.8,2.200000000000001,3
0.2,10.7,5.8,1.9,0,1,22,5,22,1,3,0.49999999999999994,0.8660254037844387,8.25,4.8999999999999995,3
23.9,8.4,1.2,4.3,3,1,23,6,23,1,3,0.49999999999999994,0.8660254037844387,4.8,7.2,3
7.7,6.0,-0.7,3.1,3,1,23,6,23,1,3,0.49999999999999994,0.8660254037844387,2.65,6.7,3
18.9,9.8,-0.3,4.6,3,1,23,6,23,1,3,0.49999999999999994,0.8660254037844387,4.75,10.100000000000001,3
0.0,24.3,13.2,3.4,4,1,24,0,24,1,4,0.49999999999999994,0.8660254037844387,18.75,11.100000000000001,3
0.0,24.6,8.8,2.5,4,1,25,1,25,1,4,0.49999999999999994,0.8660254037844387,16.700000000000003,15.8,3
0.0,20.2,11.4,1.9,1,1,25,1,25,1,4,0.49999999999999994,0.8660254037844387,15.8,8.799999999999999,3
0.5,16.5,5.0,2.3,0,1,25,1,25,1,4,0.49999999999999994,0.8660254037844387,10.75,11.5,3
9.4,7.3,-3.9,6.8,3,1,26,2,26,1,4,0.49999999999999994,0.8660254037844387,1.7,11.2,3
0.0,25.8,12.3,1.1,1,1,27,3,27,1,4,0.49999999999999994,0.8660254037844387,19.05,13.5,3
1.0,15.6,14.8,1.1,0,1,27,3,27,1,4,0.49999999999999994,0.8660254037844387,15.2,0.7999999999999989,3
1.4,22.4,9.3,1.2,0,2,2,2,33,1,5,0.8660254037844386,0.5000000000000001,15.85,13.099999999999998,3
0.0,21.9,5.6,2.3,1,2,2,2,33,1,5,0.8660254037844386,0.5000000000000001,13.75,16.299999999999997,3
0.1,22.1,-10.1,2.3,0,2,3,3,34,1,5,0.8660254037844386,0.5000000000000001,6.000000000000001,32.2,3
8.2,14.7,6.8,4.7,2,2,5,5,36,1,5,0.8660254037844386,0.5000000000000001,10.75,7.8999999999999995,3
1.3,23.4,10.1,2.6,2,2,7,0,38,1,6,0.8660254037844386,0.5000000000000001,16.75,13.299999999999999,3
0.0,29.9,4.8,1.3,1,2,8,1,39,1,6,0.8660254037844386,0.5000000000000001,17.349999999999998,25.099999999999998,3
16.5,2.6,0.5,4.5,3,2,11,4,42,1,6,0.8660254037844386,0.5000000000000001,1.55,2.1,3
0.3,20.3,7.2,1.9,0,2,12,5,43,1,6,0.8660254037844386,0.5000000000000001,13.75,13.100000000000001,3
1.2,19.3,7.3,4.3,2,2,12,5,43,1,6,0.8660254037844386,0.5000000000000001,13.3,12.0,3
2.4,1.6,-0.4,5.1,3,2,13,6,44,1,6,0.8660254037844386,0.5000000000000001,0.6000000000000001,2.0,3
11.0,-1.4,-4.6,4.8,3,2,16,2,47,1,7,0.8660254037844386,0.5000000000000001,-3.0,3.1999999999999997,3
0.1,7.9,3.1,4.9,2,2,16,2,47,1,7,0.8660254037844386,0.5000000000000001,5.5,4.800000000000001,3
7.0,4.1,-3.0,1.9,3,2,20,6,51,1,7,0.8660254037844386,0.5000000000000001,0.5499999999999998,7.1,3
15.0,4.9,2.9,4.0,3,2,22,1,53,1,8,0.8660254037844386,0.5000000000000001,3.9000000000000004,2.0000000000000004,3
14.1,6.4,-1.3,4.9,3,2,23,2,54,1,8,0.8660254037844386,0.5000000000000001,2.5500000000000003,7.7,3
0.0,24.2,15.5,1.9,4,2,25,4,56,1,8,0.8660254037844386,0.5000000000000001,19.85,8.7,3
0.2,16.5,6.9,3.7,2,2,26,5,57,1,8,0.8660254037844386,0.5000000000000001,11.7,9.6,3
1.9,14.1,9.2,1.9,0,2,26,5,57,1,8,0.8660254037844386,0.5000000000000001,11.649999999999999,4.9,3
0.9,13.9,10.8,2.8,0,2,26,5,57,1,8,0.8660254037844386,0.5000000000000001,12.350000000000001,3.0999999999999996,3
0.4,8.6,-2.7,2.7,3,2,27,6,58,1,8,0.8660254037844386,0.5000000000000001,2.9499999999999997,11.3,3
14.4,7.2,-1.4,5.2,3,3,1,2,61,1,9,1.0,6.123233995736766e-17,2.9000000000000004,8.6,1
3.5,7.6,4.5,4.2,2,3,1,2,61,1,9,1.0,6.123233995736766e-17,6.05,3.0999999999999996,1
0.1,3.9,0.0,2.6,0,3,1,2,61,1,9,1.0,6.123233995736766e-17,1.95,3.9,1
1.6,19.1,0.4,2.9,0,3,1,2,61,1,9,1.0,6.123233995736766e-17,9.75,18.700000000000003,1
0.9,26.5,15.7,3.4,0,3,3,4,63,1,9,1.0,6.123233995736766e-17,21.1,10.8,1
0.0,19.5,2.4,2.2,4,3,4,5,64,1,9,1.0,6.123233995736766e-17,10.95,17.1,1
7.6,3.2,1.7,4.3,3,3,4,5,64,1,9,1.0,6.123233995736766e-17,2.45,1.5000000000000002,1
0.0,21.3,5.8,2.4,4,3,4,5,64,1,9,1.0,6.123233995736766e-17,13.55,15.5,1
0.0,18.4,15.5,3.6,1,3,6,0,66,1,10,1.0,6.123233995736766e-17,16.95,2.8999999999999986,1
6.5,1.7,0.6,3.5,3,3,7,1,67,1,10,1.0,6.123233995736766e-17,1.15,1.1,1
4.0,15.1,9.9,2.1,2,3,8,2,68,1,10,1.0,6.123233995736766e-17,12.5,5.199999999999999,1
6.1,8.9,4.6,4.1,2,3,8,2,68,1,10,1.0,6.123233995736766e-17,6.75,4.300000000000001,1
8.6,7.1,1.8,5.8,3,3,10,4,70,1,10,1.0,6.123233995736766e-17,4.45,5.3,1
1.5,27.4,6.8,1.3,0,3,11,5,71,1,10,1.0,6.123233995736766e-17,17.099999999999998,20.599999999999998,1
4.7,5.9,-4.0,4.0,3,3,12,6,72,1,10,1.0,6.123233995736766e-17,0.9500000000000002,9.9,1
2.4,10.6,3.9,1.8,2,3,13,0,73,1,11,1.0,6.123233995736766e-17,7.25,6.699999999999999,1
5.6,8.0,-2.2,3.6,3,3,13,0,73,1,11,1.0,6.123233995736766e-17,2.9,10.2,1
0.9,26.3,0.9,1.0,0,3,13,0,73,1,11,1.0,6.123233995736766e-17,13.6,25.400000000000002,1
9.7,10.0,4.3,4.1,2,3,14,1,74,1,11,1.0,6.123233995736766e-17,7.15,5.7,1
7.6,5.0,-1.3,7.2,3,3,15,2,75,1,11,1.0,6.123233995736766e-17,1.85,6.3,1
21.0,7.3,3.2,3.5,3,3,15,2,75,1,11,1.0,6.123233995736766e-17,5.25,4.1,1
11.9,1.6,-2.2,4.0,2,3,16,3,76,1,11,1.0,6.123233995736766e-17,-0.30000000000000004,3.8000000000000003,1
0.0,18.4,11.5,4.7,4,3,16,3,76,1,11,1.0,6.123233995736766e-17,14.95,6.899999999999999,1
