date,precipitation,temp_max,temp_min,wind,weather
2000-01-01,7.0,7.6,-3.9,2.7,snow
2000-01-02,0.0,21.3,5.9,3.6,fog
2000-01-02,2.0,26.4,6.4,2.2,drizzle
2000-01-02,0.0,20.9,4.7,4.8,fog
2000-01-02,1.9,9.8,2.1,2.2,drizzle
2000-01-02,8.6,6.6,3.8,4.9,snow
2000-01-02,0.0,3.7,1.9,1.4,fog
2000-01-02,19.4,-1.7,-3.5,4.1,snow
2000-01-03,5.6,3.0,-1.3,3.8,snow
2000-01-03,2.6,1.7,-1.7,5.2,snow
2000-01-04,15.9,4.3,-1.0,3.4,snow
2000-01-04,0.0,18.4,5.3,1.2,fog
2000-01-05,0.3,15.4,10.2,4.7,rain
2000-01-05,9.0,4.4,-0.8,6.9,snow
2000-01-08,0.3,1.4,-3.5,2.1,drizzle
2000-01-09,2.7,10.1,-0.5,5.7,snow
2000-01-09,0.0,17.0,6.8,0.7,fog
2000-01-10,0.0,23.1,11.4,1.5,fog
2000-01-12,4.8,0.8,-1.9,3.5,snow
2000-01-13,1.6,17.7,-5.8,5.1,drizzle
2000-01-16,0.6,27.6,3.1,1.5,drizzle
2000-01-17,4.2,22.0,11.5,3.1,rain
2000-01-18,18.4,3.0,-0.1,4.2,snow
2000-01-20,9.2,2.0,-2.2,2.2,snow
2000-01-20,8.7,14.6,4.9,3.2,rain
2000-01-21,0.0,11.9,9.7,2.7,fog
2000-01-22,0.2,10.7,5.8,1.9,drizzle
2000-01-23,7.7,6.0,-0.7,3.1,snow
2000-01-23,18.9,9.8,-0.3,4.6,snow
2000-01-23,23.9,8.4,1.2,4.3,snow
2000-01-24,0.0,24.3,13.2,3.4,sun
2000-01-25,0.0,24.6,8.8,2.5,sun
2000-01-25,0.0,20.2,11.4,1.9,fog
2000-01-25,0.5,16.5,5.0,2.3,drizzle
2000-01-26,9.4,7.3,-3.9,6.8,snow
2000-01-27,0.0,25.8,12.3,1.1,fog
2000-01-27,1.0,15.6,14.8,1.1,drizzle
2000-02-02,0.0,21.9,5.6,2.3,fog
2000-02-02,1.4,22.4,9.3,1.2,drizzle
2000-02-03,0.1,22.1,-10.1,2.3,drizzle
2000-02-05,8.2,14.7,6.8,4.7,rain
2000-02-07,1.3,23.4,10.1,2.6,rain
2000-02-08,0.0,29.9,4.8,1.3,fog
2000-02-11,16.5,2.6,0.5,4.5,snow
2000-02-12,0.3,20.3,7.2,1.9,drizzle
2000-02-12,1.2,19.3,7.3,4.3,rain
2000-02-13,2.4,1.6,-0.4,5.1,snow
2000-02-16,0.1,7.9,3.1,4.9,rain
2000-02-16,11.0,-1.4,-4.6,4.8,snow
2000-02-20,7.0,4.1,-3.0,1.9,snow
2000-02-22,15.0,4.9,2.9,4.0,snow
2000-02-23,14.1,6.4,-1.3,4.9,snow
2000-02-25,0.0,24.2,15.5,1.9,sun
2000-02-26,1.9,14.1,9.2,1.9,drizzle
2000-02-26,0.2,16.5,6.9,3.7,rain
2000-02-26,0.9,13.9,10.8,2.8,drizzle
2000-02-27,0.4,8.6,-2.7,2.7,snow
2000-03-01,0.1,3.9,0.0,2.6,drizzle
2000-03-01,1.6,19.1,0.4,2.9,drizzle
2000-03-01,3.5,7.6,4.5,4.2,rain
2000-03-01,14.4,7.2,-1.4,5.2,snow
2000-03-03,0.9,26.5,15.7,3.4,drizzle
2000-03-04,0.0,19.5,2.4,2.2,sun
2000-03-04,7.6,3.2,1.7,4.3,snow
2000-03-04,0.0,21.3,5.8,2.4,sun
2000-03-06,0.0,18.4,15.5,3.6,fog
2000-03-07,6.5,1.7,0.6,3.5,snow
2000-03-08,4.0,15.1,9.9,2.1,rain
2000-03-08,6.1,8.9,4.6,4.1,rain
2000-03-10,8.6,7.1,1.8,5.8,snow
2000-03-11,1.5,27.4,6.8,1.3,drizzle
2000-03-12,4.7,5.9,-4.0,4.0,snow
2000-03-13,5.6,8.0,-2.2,3.6,snow
2000-03-13,2.4,10.6,3.9,1.8,rain
2000-03-13,0.9,26.3,0.9,1.0,drizzle
2000-03-14,9.7,10.0,4.3,4.1,rain
2000-03-15,21.0,7.3,3.2,3.5,snow
2000-03-15,7.6,5.0,-1.3,7.2,snow
2000-03-16,11.9,1.6,-2.2,4.0,rain
2000-03-16,0.0,18.4,11.5,4.7,sun
2000-03-16,0.0,9.2,4.0,2.7,fog
2000-03-17,0.0,6.6,3.5,1.9,fog
2000-03-19,0.1,17.3,9.6,1.1,rain
2000-03-24,12.3,9.5,1.2,6.2,snow
2000-03-24,23.9,1.7,-0.9,4.3,snow
2000-03-25,0.0,8.0,2.4,2.0,sun
2000-03-25,0.0,20.8,12.1,0.2,fog
2000-03-26,0.5,9.3,-2.1,6.2,snow
2000-03-26,9.9,3.4,-3.8,5.3,snow
2000-03-26,0.0,12.9,7.9,1.8,fog
2000-04-02,0.0,22.1,16.8,3.9,sun
2000-04-03,0.0,19.2,15.2,4.4,fog
2000-04-11,0.0,11.5,3.0,3.5,sun
2000-04-12,0.0,24.1,20.1,3.1,sun
2000-04-12,7.6,6.9,0.1,2.6,snow
2000-04-13,0.0,23.0,-1.1,3.2,sun
2000-04-13,0.8,11.9,1.7,4.3,rain
2000-04-15,0.6,11.3,4.9,6.5,rain
2000-04-15,0.0,22.5,5.3,0.8,fog
2000-04-16,0.0,15.8,11.2,4.2,fog
2000-04-16,4.3,16.4,5.0,4.4,rain
2000-04-17,9.0,1.6,-0.2,5.2,snow
2000-04-18,0.0,14.4,3.1,3.2,fog
2000-04-22,0.0,19.5,2.6,3.1,sun
2000-05-01,0.0,9.2,6.3,3.1,fog
2000-05-02,0.0,14.4,9.9,3.2,fog
2000-05-06,0.0,25.9,5.2,2.4,sun
2000-05-09,0.0,27.7,14.8,3.0,sun
2000-05-10,5.5,24.3,0.9,5.7,rain
2000-05-11,1.2,6.6,2.0,6.1,rain
2000-05-13,0.0,14.6,6.0,1.6,fog
2000-05-18,20.3,16.9,4.8,3.8,rain
2000-05-22,14.9,12.2,6.0,3.4,rain
2000-05-24,0.0,29.0,11.3,3.5,sun
2000-05-27,0.0,16.3,8.4,4.3,sun
2000-05-27,0.0,14.4,10.9,4.4,sun
2000-06-01,0.1,9.4,7.1,4.2,rain
2000-06-03,32.0,20.9,7.0,2.8,rain
2000-06-03,0.0,33.6,11.6,1.9,sun
2000-06-04,8.8,5.4,4.3,4.0,rain
2000-06-05,1.4,13.2,10.1,3.1,rain
2000-06-09,6.0,13.6,6.1,5.3,rain
2000-06-10,0.0,24.8,12.4,3.9,sun
2000-06-12,0.9,-3.5,-6.4,3.8,drizzle
2000-06-12,19.3,12.5,8.5,5.1,rain
2000-06-14,0.1,11.9,9.9,3.9,rain
2000-06-15,0.0,17.7,8.2,2.8,sun
2000-06-15,0.0,-2.2,-7.2,1.2,sun
2000-06-16,2.3,11.8,5.5,4.5,rain
2000-06-16,0.0,35.5,6.7,1.4,sun
2000-06-18,0.0,15.7,4.0,3.1,sun
2000-06-20,0.0,11.7,10.0,5.8,sun
2000-06-23,0.6,13.6,3.6,2.4,drizzle
2000-06-24,0.0,13.5,3.9,1.2,sun
2000-06-26,0.4,14.2,0.0,2.7,drizzle
2000-07-01,0.0,25.4,6.2,2.7,sun
2000-07-02,0.0,5.5,1.9,4.4,sun
2000-07-02,0.0,9.1,3.6,2.3,sun
2000-07-03,0.8,7.9,6.8,2.5,drizzle
2000-07-04,0.0,14.0,8.5,4.6,sun
2000-07-05,0.4,19.6,9.6,2.4,drizzle
2000-07-06,10.8,14.7,11.6,4.5,rain
2000-07-07,0.0,27.5,10.6,2.9,sun
2000-07-09,0.2,28.7,2.2,2.2,drizzle
2000-07-09,0.0,30.9,12.3,2.0,fog
2000-07-10,0.0,31.9,9.2,4.8,sun
2000-07-10,0.0,30.4,4.3,1.6,sun
2000-07-12,1.0,22.5,0.9,1.8,drizzle
2000-07-15,0.0,30.6,6.1,3.6,sun
2000-07-15,0.0,20.5,3.6,5.1,sun
2000-07-15,0.0,19.9,0.9,0.9,sun
2000-07-17,0.0,9.5,6.2,2.6,fog
2000-07-17,31.2,25.2,14.0,5.0,rain
2000-07-19,0.0,26.9,5.6,4.2,sun
2000-07-19,0.0,20.0,4.8,2.3,fog
2000-07-20,0.0,27.2,12.1,5.0,sun
2000-07-21,0.0,21.6,8.0,2.8,sun
2000-07-22,0.0,17.5,11.5,2.3,sun
2000-07-22,1.4,6.8,4.7,1.0,drizzle
2000-07-24,1.0,13.1,8.8,1.4,drizzle
2000-07-26,1.3,31.6,11.1,3.0,drizzle
2000-07-26,1.4,10.0,-4.4,2.0,drizzle
2000-07-27,0.0,20.5,-0.3,1.3,sun
2000-08-01,0.0,22.1,10.1,6.0,sun
2000-08-02,0.7,3.6,2.6,3.1,drizzle
2000-08-03,0.0,5.0,1.4,4.4,sun
2000-08-04,0.8,21.2,6.7,2.8,drizzle
2000-08-04,0.0,24.5,-0.8,4.0,fog
2000-08-05,1.3,10.5,-4.4,2.1,drizzle
2000-08-05,1.5,22.8,7.0,1.5,drizzle
2000-08-05,0.0,30.3,8.2,1.3,fog
2000-08-06,1.6,16.2,3.5,1.9,drizzle
2000-08-07,1.1,12.0,8.0,2.9,drizzle
2000-08-08,0.3,19.5,13.1,3.9,drizzle
2000-08-11,0.0,31.6,7.3,3.6,sun
2000-08-12,1.8,19.5,9.0,1.6,drizzle
2000-08-13,0.9,30.0,13.1,3.0,drizzle
2000-08-14,0.0,21.3,8.6,2.3,sun
2000-08-16,0.2,3.4,-4.9,2.0,drizzle
2000-08-19,0.0,40.2,14.5,3.6,fog
2000-08-21,0.0,19.5,4.9,1.8,sun
2000-08-21,0.1,26.7,9.6,1.5,drizzle
2000-08-22,1.3,9.9,5.5,1.6,drizzle
2000-08-23,1.3,20.5,17.0,2.9,drizzle
2000-08-24,1.9,13.2,-1.3,1.1,drizzle
2000-08-25,0.0,23.0,10.6,2.3,sun
2000-08-25,0.0,17.1,2.8,0.4,sun
2000-08-26,1.4,6.9,-9.4,3.5,drizzle
2000-08-27,0.0,23.6,3.3,3.7,fog
2000-09-01,1.0,8.7,1.2,1.9,drizzle
2000-09-01,0.0,25.3,4.6,2.3,sun
2000-09-02,0.0,14.7,8.0,2.7,sun
2000-09-03,0.2,-1.1,-3.3,3.6,drizzle
2000-09-04,0.0,26.8,5.3,2.1,sun
